Time (sec),A/F Correction #1,A/F Correction #3,A/F Learning #1,A/F Sensor #1 Ratio,AVCS Intake Left,AVCS Intake Right,Closed Loop Fuel Target,Closed/Open Loop Switch,Commanded Fuel Final,Coolant Temperature,Dynamic Advance Multiplier,Engine Speed,Feedback Knock Correction,Hot-Restart Enrichment,Ignition Timing,Inj. #1 Pulse Width {No Latency},Manifold Rel. Pressure,Mass Airflow,Primary Ignition,Sensor Input Monitor Only {Rear O2},Tip-in Enrich. {Last Applied},Wall Wetting Final,Warm-Up Enrichment,Inj. Duty Cycle
3.466,5.47,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,750,0.00,0.0000,11.50,0.960,-8.34,5.35,11.99,14.85,0.0000,0.0000,0.0000,1.28
3.595,5.47,0.78,5.47,14.93,0,0,14.77,Closed,14.66,205,1.0000,760,0.00,0.0000,11.00,0.957,-8.34,5.39,11.99,14.61,0.0000,0.0000,0.0000,1.30
3.725,5.47,0.78,5.47,14.93,0,0,14.77,Closed,14.66,205,1.0000,748,0.00,0.0000,11.50,0.958,-8.34,5.39,11.99,14.94,0.0000,0.0000,0.0000,1.28
3.853,5.47,0.78,5.47,14.93,0,0,14.77,Closed,14.66,205,1.0000,742,0.00,0.0000,12.50,0.963,-8.36,5.39,11.99,14.99,0.0000,0.0000,0.0000,1.27
3.982,5.47,0.78,5.47,14.93,0,0,14.78,Closed,14.66,205,1.0000,752,0.00,0.0000,11.50,0.964,-8.34,5.39,11.99,14.93,0.0000,0.0000,0.0000,1.28
4.111,6.25,0.78,5.47,14.93,0,0,14.77,Closed,14.66,205,1.0000,741,0.00,0.0000,12.50,0.969,-8.34,5.42,11.99,14.93,0.0000,0.0000,0.0000,1.26
4.240,6.25,0.78,5.47,14.93,0,0,14.78,Closed,14.66,205,1.0000,748,0.00,0.0000,12.50,0.975,-8.33,5.39,11.99,14.80,0.0000,0.0000,0.0000,1.28
4.369,6.25,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,743,0.00,0.0000,12.00,0.973,-8.31,5.35,11.99,15.11,0.0000,0.0000,0.0000,1.27
4.506,6.25,0.78,5.47,14.81,0,0,14.77,Closed,14.66,205,1.0000,740,0.00,0.0000,13.50,0.997,-8.29,10.05,15.05,15.12,0.0000,0.2612,0.0000,1.26
4.627,6.25,1.64,5.47,14.81,0,0,14.80,Closed,10.38,205,1.0000,742,0.00,0.0000,18.50,2.343,-5.10,20.15,4.77,15.00,0.0000,0.2949,0.0000,2.06
4.761,5.47,1.64,4.69,14.81,0,1,14.91,Closed,13.89,205,1.0000,764,0.00,0.0000,11.00,2.247,-5.04,7.12,5.23,14.85,0.0000,-0.0817,0.0000,1.79
4.885,6.25,1.09,5.47,14.93,0,0,14.88,Closed,15.78,205,1.0000,944,0.00,0.0000,1.50,1.487,-6.68,4.77,13.69,14.69,0.0000,-0.0254,0.0000,1.81
5.026,9.38,0.70,5.47,16.31,0,0,14.76,Closed,15.75,205,1.0000,1036,0.00,0.0000,13.00,1.146,-7.35,6.61,16.13,16.27,0.0000,0.0026,0.0000,1.99
5.143,7.81,1.25,5.47,15.16,0,0,14.73,Closed,14.57,205,1.0000,1156,0.00,0.0000,17.50,1.055,-7.44,9.37,20.91,15.78,0.0000,0.0020,0.0000,1.97
5.272,2.34,1.02,4.69,13.78,0,0,14.83,Closed,14.56,205,1.0000,1261,0.00,0.0000,23.50,1.007,-7.70,9.87,26.41,13.46,0.0000,0.0000,0.0000,2.15
5.402,-0.78,-1.95,4.69,13.21,0,0,14.29,Closed,14.55,205,1.0000,1374,0.00,0.0000,30.50,0.961,-8.08,10.10,33.06,12.87,0.0000,0.0000,0.0000,2.34
5.531,2.34,-1.95,4.69,14.36,1,0,14.24,Closed,14.53,205,1.0000,1457,0.00,0.0000,32.50,0.916,-8.49,9.30,34.18,13.47,0.0000,-0.0250,0.0000,2.49
5.660,5.47,-0.63,3.91,15.16,1,0,14.43,Closed,14.52,205,1.0000,1551,0.00,0.0000,33.00,0.860,-9.02,8.92,34.22,14.56,0.0000,0.0000,0.0000,2.32
5.789,7.03,1.64,3.91,15.62,1,1,14.77,Closed,14.90,205,1.0000,1605,0.00,0.0000,32.50,0.766,-9.43,8.33,33.44,15.62,0.0000,0.0000,0.0000,2.40
5.917,7.03,1.56,3.91,15.27,1,1,14.77,Closed,14.54,205,1.0000,1647,0.00,0.0000,32.50,0.687,-9.81,8.20,33.66,15.64,0.0000,0.0000,0.0000,2.46
6.048,5.47,1.56,3.13,14.70,1,0,14.78,Closed,14.55,205,1.0000,1646,0.00,0.0000,32.50,0.640,-10.01,8.53,33.20,14.84,0.0000,0.0000,0.0000,2.46
6.175,3.91,0.47,3.13,14.36,1,0,14.62,Closed,14.55,205,1.0000,1661,0.00,0.0000,32.00,0.649,-10.01,8.98,33.57,14.66,0.0000,0.0000,0.0000,2.48
6.304,3.13,-1.02,3.13,14.13,1,1,14.40,Closed,14.55,205,1.0000,1651,0.00,0.0000,32.50,0.664,-9.98,9.30,34.12,14.43,0.0000,0.0000,0.0000,2.46
6.436,3.13,-1.41,3.13,14.13,1,1,14.34,Closed,14.54,205,1.0000,1649,0.00,0.0000,32.50,0.692,-9.94,9.87,34.05,14.22,0.0000,0.0000,0.0000,2.46
6.562,2.34,-1.02,2.34,14.13,1,0,14.38,Closed,14.54,205,1.0000,1625,0.00,0.0000,33.50,0.737,-9.78,10.16,34.68,14.09,0.0000,0.0000,0.0000,2.43
6.701,2.34,-0.86,2.34,14.24,1,0,14.40,Closed,14.53,205,1.0000,1617,0.00,0.0000,33.00,0.768,-9.64,10.10,34.31,14.14,0.0000,0.0000,0.0000,2.42
6.820,2.34,0.00,2.34,14.36,1,1,14.50,Closed,14.52,205,1.0000,1582,0.00,0.0000,33.00,0.791,-9.53,10.28,34.10,14.10,0.0000,0.0000,0.0000,2.36
6.949,2.34,1.33,2.34,14.47,1,1,14.73,Closed,14.53,205,1.0000,1544,0.00,0.0000,32.50,0.808,-9.40,10.16,33.68,14.31,0.0000,0.0000,0.0000,2.31
7.078,2.34,2.03,2.34,14.47,1,1,14.83,Closed,14.54,205,1.0000,1491,0.00,0.0000,32.00,0.829,-9.18,10.06,33.13,14.32,0.0000,0.0000,0.0000,2.23
7.207,1.56,2.03,0.00,14.59,1,1,14.84,Closed,14.54,205,1.0000,1432,0.00,0.0000,31.00,0.844,-9.00,10.30,127.95,14.43,0.0000,0.0010,0.0000,2.14
7.337,1.56,2.03,0.00,14.70,1,1,14.85,Closed,14.54,205,1.0000,1368,0.00,0.0000,30.00,0.885,-8.78,10.53,31.65,14.48,0.0000,0.0005,0.0000,2.33
7.478,2.34,2.03,0.00,14.93,1,2,14.87,Closed,14.54,205,1.0000,1305,0.00,0.0000,29.00,0.970,-8.52,10.94,30.87,14.43,0.0000,0.0033,0.0000,2.23
7.594,2.34,2.03,0.00,15.04,1,1,14.88,Closed,14.52,205,1.0000,1254,0.00,0.0000,28.50,1.045,-8.23,11.00,30.34,14.76,0.0000,0.0044,0.0000,2.14
7.723,3.91,2.03,0.00,15.27,1,1,14.89,Closed,14.52,205,1.0000,1209,0.00,0.0000,27.50,1.125,-7.91,10.89,29.77,15.27,0.0000,0.0056,0.0000,2.06
7.852,5.47,2.03,0.00,15.62,0,1,14.90,Closed,14.52,205,1.0000,1211,0.00,0.0000,27.00,1.183,-7.72,10.97,29.89,15.52,0.0000,0.0061,0.0000,2.33
7.981,7.03,2.03,0.00,15.96,0,1,14.89,Closed,14.50,205,1.0000,1214,0.00,0.0000,27.50,1.221,-7.58,10.97,29.95,15.66,0.0000,0.0062,0.0000,2.33
8.111,8.59,2.03,0.00,15.96,0,0,14.89,Closed,14.50,203,1.0000,1235,0.00,0.0000,27.50,1.235,-7.54,10.85,30.55,16.09,0.0000,0.0059,0.0000,2.37
8.239,10.16,2.03,0.00,15.96,0,1,14.88,Closed,14.50,203,1.0000,1243,0.00,0.0000,28.00,1.242,-7.56,10.91,30.68,15.99,0.0000,0.0053,0.0000,2.39
8.368,11.72,2.03,0.00,15.73,0,0,14.88,Closed,14.51,203,1.0000,1245,0.00,0.0000,28.50,1.240,-7.61,10.79,30.73,15.76,0.0000,0.0046,0.0000,2.39
8.497,11.72,1.48,0.00,15.50,1,0,14.79,Closed,14.52,203,1.0000,1266,0.00,0.0000,29.00,1.221,-7.73,10.20,31.46,15.62,0.0000,0.0031,0.0000,2.43
8.627,12.50,0.16,0.00,15.27,1,1,14.52,Closed,14.52,203,1.0000,1286,0.00,0.0000,29.00,1.164,-7.95,10.02,31.20,15.34,0.0000,0.0021,0.0000,2.47
8.755,13.28,-0.39,0.00,15.16,1,1,14.50,Closed,14.54,203,1.0000,1269,0.00,0.0000,29.00,1.145,-8.07,10.14,30.60,15.26,0.0000,0.0017,0.0000,2.44
8.884,14.06,-0.47,0.00,14.93,1,1,14.51,Closed,14.55,203,1.0000,1258,0.00,0.0000,29.00,1.143,-8.11,10.08,30.53,14.87,0.0000,0.0012,0.0000,2.42
9.022,14.06,-0.70,0.00,14.81,1,2,14.43,Closed,14.56,203,1.0000,1265,0.00,0.0000,28.50,1.145,-8.12,10.14,30.33,14.86,0.0000,0.0013,0.0000,2.43
9.142,14.06,-1.33,0.00,14.70,1,1,14.47,Closed,14.56,203,1.0000,1231,0.00,0.0000,28.00,1.162,-8.04,10.32,29.90,14.60,0.0000,0.0017,0.0000,2.36
9.272,14.06,-0.55,0.00,14.59,0,1,14.48,Closed,14.56,203,1.0000,1215,0.00,0.0000,27.50,1.191,-7.95,10.32,29.52,14.63,0.0000,0.0021,0.0000,2.33
9.413,14.06,-0.23,0.00,14.59,0,1,14.60,Closed,14.56,203,1.0000,1198,0.00,0.0000,27.00,1.220,-7.80,10.49,29.37,14.46,0.0000,0.0026,0.0000,2.30
9.530,14.06,0.63,0.00,14.59,0,0,14.64,Closed,14.56,203,1.0000,1179,0.00,0.0000,27.00,1.250,-7.69,10.49,29.17,14.46,0.0000,0.0030,0.0000,2.26
9.659,14.06,1.88,0.00,14.70,0,0,14.76,Closed,14.56,203,1.0000,1159,0.00,0.0000,26.50,1.270,-7.55,10.38,28.95,14.51,0.0000,0.0034,0.0000,2.22
9.788,14.06,1.48,0.00,14.70,0,0,14.85,Closed,14.56,203,1.0000,1146,0.00,0.0000,26.50,1.287,-7.47,10.26,28.62,14.68,0.0000,0.0037,0.0000,2.20
9.917,14.06,2.03,0.00,14.70,0,0,14.86,Closed,14.56,203,1.0000,1142,0.00,0.0000,26.00,1.289,-7.37,10.26,28.55,14.60,0.0000,0.0038,0.0000,2.19
10.055,13.28,1.33,0.00,14.70,0,0,14.89,Closed,14.56,203,1.0000,1123,0.00,0.0000,26.00,1.278,-7.35,9.91,28.27,14.57,0.0000,0.0034,0.0000,2.16
10.175,12.50,1.88,0.00,14.59,0,0,14.85,Closed,14.56,201,1.0000,1117,0.00,0.0000,26.00,1.257,-7.41,9.66,28.30,14.64,0.0000,0.0031,0.0000,2.14
10.313,12.50,1.95,0.00,14.59,0,0,14.85,Closed,14.57,201,1.0000,1112,0.00,0.0000,26.00,1.250,-7.41,10.02,28.14,14.66,0.0000,0.0030,0.0000,2.13
10.433,12.50,1.72,0.00,14.59,0,0,14.90,Closed,14.57,201,1.0000,1087,0.00,0.0000,26.00,1.293,-7.26,10.44,27.55,14.62,0.0000,0.0035,0.0000,2.09
10.562,11.72,1.72,0.00,14.70,0,0,14.88,Closed,14.56,201,1.0000,1095,0.00,0.0000,25.50,1.320,-7.18,10.32,27.21,14.58,0.0000,0.0039,0.0000,2.10
10.691,11.72,1.64,0.00,14.70,0,0,14.81,Closed,14.56,201,1.0000,1090,0.00,0.0000,25.00,1.353,-7.03,10.67,27.22,14.61,0.0000,0.0042,0.0000,2.09
10.820,12.50,1.41,0.00,14.81,0,0,14.90,Closed,14.56,201,1.0000,1102,0.00,0.0000,25.50,1.383,-6.96,10.85,27.19,14.39,0.0000,0.0042,0.0000,2.11
10.949,12.50,2.03,0.00,14.93,0,0,14.91,Closed,14.55,201,1.0000,1121,0.00,0.0000,25.50,1.394,-6.94,10.73,27.98,14.78,0.0000,0.0039,0.0000,2.39
11.078,12.50,2.03,0.00,15.04,0,0,14.91,Closed,14.55,201,1.0000,1144,0.00,0.0000,26.50,1.384,-6.99,10.79,28.52,15.06,0.0000,0.0034,0.0000,2.20
11.207,13.28,2.03,0.00,15.04,0,0,14.90,Closed,14.56,201,1.0000,1186,0.00,0.0000,26.50,1.348,-7.03,10.67,29.20,15.28,0.0000,0.0029,0.0000,2.28
11.336,12.50,2.03,0.00,14.81,0,0,14.90,Closed,14.56,201,1.0000,1209,0.00,0.0000,27.50,1.311,-7.16,10.85,29.90,14.87,0.0000,0.0021,0.0000,2.32
11.465,11.72,0.47,0.00,14.70,0,0,14.80,Closed,14.56,201,1.0000,1251,0.00,0.0000,28.50,1.286,-7.28,10.97,31.43,14.71,0.0000,0.0009,0.0000,2.40
11.594,12.50,-0.08,0.00,14.81,0,0,14.66,Closed,14.56,201,1.0000,1303,0.00,0.0000,30.00,1.256,-7.48,11.20,32.71,14.62,0.0000,0.0000,0.0000,2.50
11.723,12.50,0.31,0.00,14.70,1,0,14.66,Closed,14.56,201,1.0000,1345,0.00,0.0000,31.50,1.216,-7.73,11.08,33.99,14.64,0.0000,0.0000,0.0000,2.58
11.852,12.50,1.72,0.00,14.70,1,1,14.78,Closed,14.54,201,1.0000,1396,0.00,0.0000,32.50,1.165,-7.95,11.02,34.40,14.39,0.0000,0.0000,0.0000,2.68
11.984,12.50,1.64,0.00,14.70,1,1,14.76,Closed,14.53,201,1.0000,1423,0.00,0.0000,33.00,1.123,-8.08,10.79,34.74,14.40,0.0000,0.0000,0.0000,2.43
12.109,12.50,1.56,0.00,14.70,1,1,14.74,Closed,14.53,201,1.0000,1449,0.00,0.0000,33.00,1.076,-8.27,10.79,34.74,14.64,0.0000,0.0000,0.0000,2.47
12.239,11.72,0.70,0.00,14.36,1,1,14.71,Closed,14.53,201,1.0000,1468,0.00,0.0000,33.00,1.044,-8.40,10.85,34.66,14.53,0.0000,0.0000,0.0000,2.50
12.367,10.16,1.25,0.00,14.24,2,1,14.72,Closed,14.52,201,1.0000,1475,0.00,0.0000,33.50,1.024,-8.48,10.96,34.68,14.17,0.0000,0.0000,0.0000,2.52
12.496,10.16,0.08,0.00,14.24,1,1,14.49,Closed,14.52,201,1.0000,1470,0.00,0.0000,33.50,1.012,-8.50,10.91,34.74,14.19,0.0000,0.0000,0.0000,2.51
12.625,9.38,0.23,0.00,14.24,2,1,14.54,Closed,14.52,201,1.0000,1478,0.00,0.0000,33.50,1.007,-8.56,11.02,35.08,14.15,0.0000,0.0000,0.0000,2.52
12.754,9.38,0.86,0.00,14.36,1,1,14.46,Closed,14.52,201,1.0000,1488,0.00,0.0000,33.50,0.994,-8.58,10.85,34.89,14.07,0.0000,0.0000,0.0000,2.54
12.883,8.59,0.78,0.00,14.36,2,1,14.65,Closed,14.52,201,1.0000,1487,0.00,0.0000,33.50,0.984,-8.65,10.61,34.81,14.32,0.0000,0.0000,0.0000,2.54
13.014,7.81,2.03,0.00,14.24,1,1,14.66,Closed,14.52,201,1.0000,1488,0.00,0.0000,33.00,0.950,-8.72,10.38,34.13,14.29,0.0000,0.0000,0.0000,2.54
13.141,7.03,2.03,0.00,14.36,1,1,14.82,Closed,14.53,201,1.0000,1470,0.00,0.0000,33.00,0.931,-8.78,10.44,33.91,14.03,0.0000,0.0000,0.0000,2.51
13.270,6.25,1.33,0.00,14.36,1,2,14.76,Closed,14.53,201,1.0000,1465,0.00,0.0000,32.50,0.917,-8.78,10.44,33.62,14.31,0.0000,0.0000,0.0000,2.50
13.400,5.47,2.03,0.00,14.24,1,1,14.75,Closed,14.53,201,1.0000,1452,0.00,0.0000,32.50,0.916,-8.72,10.55,33.64,14.29,0.0000,0.0000,0.0000,2.48
13.528,5.47,1.95,0.00,14.36,1,1,14.83,Closed,14.54,201,1.0000,1440,0.00,0.0000,32.50,0.932,-8.67,10.67,33.68,14.28,0.0000,0.0000,0.0000,2.46
13.666,5.47,1.72,0.00,14.47,1,2,14.79,Closed,14.54,201,1.0000,1440,0.00,0.0000,32.50,0.944,-8.62,10.67,33.57,14.24,0.0000,0.0000,0.0000,2.46
13.786,4.69,2.03,0.00,14.59,1,1,14.84,Closed,14.54,201,1.0000,1427,0.00,0.0000,32.00,0.949,-8.59,10.67,33.54,14.32,0.0000,0.0000,0.0000,2.43
13.920,4.69,2.03,0.00,14.70,1,2,14.84,Closed,14.54,201,1.0000,1424,0.00,0.0000,32.00,0.952,-8.56,10.55,33.32,14.54,0.0000,0.0000,0.0000,2.43
14.044,4.69,2.03,0.00,14.70,2,1,14.84,Closed,14.54,201,1.0000,1411,0.00,0.0000,31.50,0.949,-8.55,10.20,33.14,14.68,0.0000,0.0000,0.0000,2.41
14.174,4.69,2.03,0.00,14.81,1,2,14.84,Closed,14.54,201,1.0000,1404,0.00,0.0000,31.50,0.937,-8.61,10.20,32.73,14.61,0.0000,0.0000,0.0000,2.40
14.303,4.69,2.03,0.00,14.81,2,1,14.85,Closed,14.55,201,1.0000,1389,0.00,0.0000,31.00,0.940,-8.59,10.32,32.62,14.82,0.0000,0.0000,0.0000,2.37
14.432,4.69,2.03,0.00,14.81,1,2,14.85,Closed,14.55,201,1.0000,1378,0.00,0.0000,31.00,0.945,-8.59,10.32,32.36,14.48,0.0000,0.0000,0.0000,2.35
14.561,4.69,2.03,0.00,14.81,2,1,14.85,Closed,14.55,201,1.0000,1360,0.00,0.0000,31.00,0.974,-8.52,10.91,32.53,14.77,0.0000,0.0000,0.0000,2.32
14.689,4.69,2.03,0.00,14.81,1,2,14.85,Closed,14.55,201,1.0000,1349,0.00,0.0000,31.00,1.012,-8.39,11.02,32.63,14.75,0.0000,0.0000,0.0000,2.30
14.819,5.47,2.03,0.00,14.93,2,1,14.85,Closed,14.54,201,1.0000,1337,0.00,0.0000,31.00,1.046,-8.31,10.91,32.44,14.87,0.0000,0.0006,0.0000,2.28
14.950,5.47,2.03,0.00,15.16,3,1,14.85,Closed,14.54,201,1.0000,1332,0.00,0.0000,31.00,1.052,-8.31,10.67,32.42,15.05,0.0000,0.0006,0.0000,2.27
15.079,7.03,2.03,0.00,15.27,4,3,14.85,Closed,14.55,201,1.0000,1333,0.00,0.0000,31.00,1.056,-8.31,10.73,32.23,15.19,0.0000,0.0000,0.0000,2.27
15.210,7.03,2.03,0.00,15.16,4,1,14.86,Closed,14.56,201,1.0000,1324,0.00,0.0000,30.50,1.061,-8.33,10.55,32.24,15.24,0.0000,0.0000,0.0000,2.26
15.338,7.03,2.03,0.00,15.04,6,3,14.86,Closed,14.56,201,1.0000,1334,0.00,0.0000,30.50,1.060,-8.34,10.67,32.25,15.21,0.0000,0.0000,0.0000,2.28
15.469,7.03,2.03,0.00,14.93,7,1,14.86,Closed,14.55,201,1.0000,1336,0.00,0.0000,30.50,1.076,-8.29,10.97,32.58,14.94,0.0000,0.0000,0.0000,2.28
15.599,7.81,0.47,0.00,14.93,7,3,14.63,Closed,14.56,201,1.0000,1335,0.00,0.0000,30.50,1.093,-8.29,10.91,32.56,14.95,0.0000,0.0007,0.0000,2.28
15.728,7.81,1.09,0.00,14.93,7,2,14.75,Closed,14.54,201,1.0000,1333,0.00,0.0000,31.00,1.100,-8.26,10.91,32.51,14.83,0.0000,0.0000,0.0000,2.27
15.858,8.59,1.09,0.00,14.93,7,3,14.71,Closed,14.54,201,1.0000,1323,0.00,0.0000,31.00,1.107,-8.24,10.91,32.66,15.00,0.0000,0.0006,0.0000,2.26
15.988,8.59,1.48,0.00,14.93,8,3,14.76,Closed,14.55,201,1.0000,1329,0.00,0.0000,31.00,1.110,-8.26,10.85,32.50,14.97,0.0000,0.0005,0.0000,2.27
16.119,8.59,2.03,0.00,14.93,7,2,14.81,Closed,14.54,201,1.0000,1332,0.00,0.0000,31.00,1.110,-8.29,11.08,32.73,14.90,0.0000,0.0000,0.0000,2.27
16.248,8.59,1.41,0.00,14.81,8,4,14.82,Closed,14.54,201,1.0000,1334,0.00,0.0000,31.00,1.114,-8.29,11.14,32.66,14.66,0.0000,0.0000,0.0000,2.28
16.378,8.59,1.33,0.00,14.81,8,2,14.83,Closed,14.55,201,1.0000,1334,0.00,0.0000,31.00,1.114,-8.27,10.97,32.73,14.76,0.0000,0.0000,0.0000,2.28
16.508,8.59,1.33,0.00,14.81,9,4,14.74,Closed,14.55,201,1.0000,1344,0.00,0.0000,31.00,1.106,-8.29,10.91,32.58,14.75,0.0000,0.0000,0.0000,2.29
16.638,8.59,0.86,0.00,14.70,9,2,14.74,Closed,14.55,201,1.0000,1339,0.00,0.0000,31.00,1.111,-8.29,11.08,32.97,14.83,0.0000,0.0000,0.0000,2.28
16.776,8.59,1.56,0.00,14.81,9,4,14.78,Closed,14.55,201,1.0000,1346,0.00,0.0000,31.00,1.123,-8.29,11.20,32.95,14.72,0.0000,0.0000,0.0000,2.30
16.896,8.59,1.02,0.00,14.70,9,2,14.69,Closed,14.55,201,1.0000,1336,0.00,0.0000,31.00,1.135,-8.21,11.26,32.89,14.69,0.0000,0.0000,0.0000,2.56
17.025,8.59,1.33,0.00,14.81,9,4,14.86,Closed,14.56,201,1.0000,1323,0.00,0.0000,31.00,1.143,-8.20,11.20,32.76,14.66,0.0000,0.0007,0.0000,2.54
17.154,8.59,1.80,0.00,14.70,9,4,14.81,Closed,14.54,201,1.0000,1302,0.00,0.0000,30.50,1.151,-8.15,11.26,31.83,14.75,0.0000,0.0009,0.0000,2.50
17.284,8.59,2.03,0.00,14.70,7,2,14.87,Closed,14.56,201,1.0000,1261,0.00,0.0000,29.50,1.169,-8.02,11.14,31.03,14.65,0.0000,0.0015,0.0000,2.42
17.412,8.59,1.41,0.00,14.81,6,3,14.87,Closed,14.56,201,1.0000,1237,0.00,0.0000,28.00,1.205,-7.86,11.14,29.91,14.78,0.0000,0.0024,0.0000,2.37
17.543,8.59,2.03,0.00,14.81,2,2,14.90,Closed,14.56,201,1.0000,1178,0.00,0.0000,27.00,1.244,-7.61,10.97,28.82,14.79,0.0000,0.0037,0.0000,2.26
17.670,8.59,2.03,0.00,14.81,0,0,14.91,Closed,14.55,201,1.0000,1135,0.00,0.0000,26.00,1.273,-7.38,10.55,28.11,14.80,0.0000,0.0042,0.0000,2.18
17.799,8.59,2.03,0.00,14.93,0,0,14.91,Closed,14.55,201,1.0000,1091,0.00,0.0000,25.50,1.287,-7.29,10.20,26.99,14.85,0.0000,0.0043,0.0000,2.10
17.928,9.38,2.03,0.00,15.04,0,1,14.90,Closed,14.56,201,1.0000,1062,0.00,0.0000,25.00,1.293,-7.19,9.97,26.29,14.87,0.0000,0.0045,0.0000,2.04
